Variant SKU,Title,Image Column,Original URL,Local Filename,Local Path,Spoke colour,Hub colour,Rim colour,Price
ENVY-DID SILVER-TITAN,ENVY-DID SILVER-TITAN,IMAGE_2,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-SILVER_TITAN-PAIR-1.jpg?v=1742604960,ENVY-DID-SILVER_TITAN-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-SILVER_TITAN-PAIR-1.jpg,Silver,Titan,Silver,10.5
ENVY-DID SILVER-FACTORY,ENVY-DID SILVER-FACTORY,IMAGE_1,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-SILVER_FACTORY-PAIR-1.jpg?v=1742604669,ENVY-DID-SILVER_FACTORY-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-SILVER_FACTORY-PAIR-1.jpg,Silver,Factory,Silver,10.5
ENVY-DID SILVER-FACTORY,ENVY-DID SILVER-FACTORY,IMAGE_2,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-SILVER_FACTORY-PAIR-1.jpg?v=1742604669,ENVY-DID-SILVER_FACTORY-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-SILVER_FACTORY-PAIR-1.jpg,Silver,Factory,Silver,10.5
ENVY-DID SILVER-MAG,ENVY-DID SILVER-MAG,IMAGE_1,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-SILVER_MAG-PAIR-1.jpg?v=1742604337,ENVY-DID-SILVER_MAG-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-SILVER_MAG-PAIR-1.jpg,Silver,Mag,Silver,10.5
ENVY-DID SILVER-MAG,ENVY-DID SILVER-MAG,IMAGE_2,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-SILVER_MAG-PAIR-1.jpg?v=1742604337,ENVY-DID-SILVER_MAG-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-SILVER_MAG-PAIR-1.jpg,Silver,Mag,Silver,10.5
ENVY-DID SILVER-BLACK,ENVY-DID SILVER-BLACK,IMAGE_1,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-SILVER_BLACK-PAIR-1.jpg?v=1742604242,ENVY-DID-SILVER_BLACK-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-SILVER_BLACK-PAIR-1.jpg,Silver,Black,Silver,10.5
ENVY-DID SILVER-BLACK,ENVY-DID SILVER-BLACK,IMAGE_2,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-SILVER_BLACK-PAIR-1.jpg?v=1742604242,ENVY-DID-SILVER_BLACK-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-SILVER_BLACK-PAIR-1.jpg,Silver,Black,Silver,10.5
ENVY-DID Silver-Red,ENVY-DID Silver-Red,IMAGE_1,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-SILVER_RED-PAIR-1.jpg?v=1742604145,ENVY-DID-SILVER_RED-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-SILVER_RED-PAIR-1.jpg,Silver,Red,Silver,10.5
ENVY-DID Silver-Red,ENVY-DID Silver-Red,IMAGE_2,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-SILVER_RED-PAIR-1.jpg?v=1742604145,ENVY-DID-SILVER_RED-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-SILVER_RED-PAIR-1.jpg,Silver,Red,Silver,10.5
ENVY-DID SILVER-COPPER,ENVY-DID SILVER-COPPER,IMAGE_1,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY_DID-SILVER-COPPER-PAIR-1.jpg?v=1742604046,ENVY_DID-SILVER-COPPER-PAIR-1.jpg,assets\images\envy-did\ENVY_DID-SILVER-COPPER-PAIR-1.jpg,Silver,Copper,Silver,10.5
